source_language,target_language,source_text,target_text
Dholuo,Swahili,Jatend piny america moluor joe biden nigi geno ni corona virus dhi rumo epinyno kochopo tarik 4 dwe mar 7 higani odiochieng ma america dhiale loch margi kata independence.,Rais wa amerika mheshimiwa joe biden ana matumaini kuwa virusi vya korona vitaisha humo nchini ifikapo tarehe 4/7/2021 siku ambayo watasherehekea ushindi wao.
Dholuo,Swahili,"Kata kamano, e piny Kenya, ji mang'eny ok ong'eyo kaka weche mag dongruok nyalo bedoe, to mano en gima dwarore ahinya mondo dongruok obedie.",UMUHIMU WA_MIUNDOMSINGI NCHINI KENYA    Ni dhahiri shahiri ya kuwa miundomsingi ni nyenzo za kimsingi katika maendeleo ya kiuchumi ya nchi.
Dholuo,Swahili,"Gigo nyalo miyowa thuolo mar konyore wawegi kendo bedo joma ok otenore kuom pinje mamoko, nikech gik ma ji dwaro ahinya yudore e pinywa.",Masoko hayo yanaweza kutuwezesha katika kujisaidia kinchi na kutokuwa wategemevu kwa nchi zingine kwa kuwa uuzaji wa bidhaa zinazohitajika kwa wingi zimo ndani ya nchi yetu.
Dholuo,Swahili,Osediewo didi?,Amehara marangapi?
Dholuo,Swahili,Aluor wuotho oko gotieno,Naogopa kutembea nje usiku 
Dholuo,Swahili,Yiengo jamirembe,Mwenye shibe husahau njaa
Dholuo,Swahili,"Josiasa kod jolupgi ne gore e kindgi giwegi, ka moko kuomgi hinyore to moko to imako.",Wanasiasa na wafuasi wao walipigana na kujeruhiana na baadhi yao walitiwa mbaroni.
Dholuo,Swahili,Ne akwanyo pesa e wanga yo ,Niliokota pesa barabarani 
Dholuo,Swahili,"Nyithindo wete gi kane obiro, noriwore kodgi  kanyakla. ","Watoto wenzake walipokuja,  alijiunga nao wakaenda pamoja. "
Dholuo,Swahili,Aluoko sande yaye.,Ninaosha vyombo
Dholuo,Swahili,"En adier ni tiju ber,",Ni kweli kazi zenu ni nyeti.
Dholuo,Swahili,Wuon ng'atno nowacho ni ne en gi tim moro mopogore gi mar jonyuolne.,Babaye mwathiriwa alisema aligungua hali tofauti katika tabia
Dholuo,Swahili,"Kaunti mar Kwale ipako ahinya kuom yamo maler, gode koda kuonde mopie, aluora amber, pi maler kendo magawa mabeyo. ","Kaunti ya Kwale inasifika sana kwa hewa yake safi,  mabonde na mlima mandhari murua,  visiwa na mahoteli ya kifahari. "
Dholuo,Swahili,Ekinde moro ne omake kod keth mar chano orak moro mabandia ekelo pachoka gilweny orak mane ochano eapisi,Kuna wakati alishtumiwa kwa makosa ya kupeana kandarasi bandia ya kuagiza vifaa vya vita/kijeshi. 
Dholuo,Swahili,Bang'e jiduto nowuok kendo ochomo kanyo mar chiemo. ,"Baadaye,  kila mmoja alielekea ukumbini ambapo meza ilikuwa ikilalamikia uzito wa vyakula. "
Dholuo,Swahili,"E wi mano, en ema ne en Jaote mogik mar Nyasaye.",Wasallam na kwamba yeye ndiye Mtume wa Mwisho wa Mwenyezi Mungu.
Dholuo,Swahili,"achiel kuom jok manosingore ni dhi konye ne en jagol twak mar senet Ken Lusaka,seneta ma opuodh Millicent Omanga,jathum  Akothee, kambi mar loso makate mar broadways manieder Tana River to gi mamoko","Miongoni mwa wale walioahidi kumsaidia ni Spika wa Bunge la Seneti KenLusaka, Seneta Maalum Milicent Omanga, mwanamuziki Akothee, kampuni ya kutengeneza mikate ya Broadways kati ya Tana River) kati ya wengine."
Dholuo,Swahili,"Jataa yore tich eboard onogoo ezekeil mutua owacho ni omondi itudo kod keth mar yande keto tugo moro embui , tugo mane oko opuodhi kod duolno.",Ezekiel mutua anasema kuwa omondi alipatikana na kosa la kuweka mchezo usioidhinishwa kule embu.
Dholuo,Swahili,Ijiwo ji mondo ogo ombulu.,Watu wanahimizwa kushiriki katika uchaguzi.
Dholuo,Swahili,Be dongruok mar bombe e piny Kenya osemiyo ji obedo gi ngima maber?,Kwa uzalishaji wa miji ainati nchini Kenya wananchi wameweza kujitosheleza kimaish?
Dholuo,Swahili,Ne okonya yudo tich.,Alinisaidia kupata kazi.
Dholuo,Swahili,"Masiche mang'eny matimore e nderni, timore nikech ng'ato ok oluwo ranyisi mag ndara, ok oluwo chike mag ndara, ok odewo, derepe mamoko be kendo ok ong'eyo riembo mtoka maber.","Ajali za barabarani husababishwa na kutofuata alama za barabarani, kutotia sheria za uendeshaji gari barabarani, kupuuza kwa madereva wengine na uendeshaji gari bila ya vyeti wala tajiriba ya uendeshaji gari."
Dholuo,Swahili,Ero kamano japuonj. ,Asante mwalimu. 
Dholuo,Swahili,"Ne gin jomer ma ne nyalo miyo ngima ji obed matek kuom dhi e kar yueyo ma ne opong ' gi chiemo mang'eny ahinya, kata kamano, ne ok gitim gimoro amora ma ne nyalo miyo ngimagi obed matek.",wao ni walevi wanghatanisha maisha ya watu kwa kwenda kerind kujaza magan kupita kiasi lakini makthisa hawachukui hatua yoyote le Bora wao wapahte kitu kidogo kumawananya kita
Dholuo,Swahili,"Mana kaka yiende konyo e ywayo koth, e kaka yiende bende konyo e ywayo muya maler.","Kama vile miti husaidia kuvuta mvua, ni nyumba ya wanyama wa pori pia tunapata hewa safi kupitia miti."
Dholuo,Swahili,Ogwangiwito gi  piene,Tupa jongoo na mti wake
Dholuo,Swahili,Mano e gima Otieno dwaro. ,haya ndio Allah aliyoyataka
Dholuo,Swahili,Machunga e ma wanyodho.,TUNAMUMUNYA MACHUNGWA
Dholuo,Swahili,To be in gi keno maromo nade e riwruok mar adhula no endo?,"Je, ni kiasi gani cha fedha umewekeza katika klabu hiyo ya soka?"
Dholuo,Swahili,"weg tich noneno ni geng'o ber maloyo thietho, ne gigolo ji e tich mondo gidong' gi joma tin. ",Waajiri wakizingatia kuwa kinga ni bora kuliko tiba;  wamepiga watu kalamu ili waweze kubakisha waajiriwa wachache. 
Dholuo,Swahili,"ka omakore gi weche kaka tuke, siasa, dak, chike, ohala, somo, gi mamoko.","Huhusu masuala kama michezo, siasa, jamii,mahakama, biashara, elimu n.k.Ripoti za magazeti zina sifa zifuatazo:?"
Dholuo,Swahili,"Ka pok wiya owil, timbe mag mibadhi osemedore ahinya e kinde mag tuo mar corona.","Kabla sijasahau, ufisadi umekithiri sana wakati wa Virusi hivi vya corona."
Dholuo,Swahili,"Esechegi joma nigi tuo mar korona, nyalo dok piny kuom tiyo gi yedhe mag nyaluo kaka ndim, kitungu koda tangawizi.","Hivi sasa,  walio na ugonjwa wa corona wameweza kupungua kwa utumiaji wa dawa za mitishamba kama utumiaji wa vitunguu,  limau pamoja na tangawizi."
Dholuo,Swahili,"Mago gin nyithindo ma ne ok dhi maber e penj ma ne otim bang' skul, nikech ne ok giyudo thuolo mar dhi nyime gi somo.",Watoto hawa ndio huanguka mtihani baada ya shule kufunguliwa kwani hawakuwa na nafasi ya kuendeleza masomo yao.
Dholuo,Swahili,Twe nyathi gi leso eng'eyi.,mfunge mtoto kwa leso ngongono.
Dholuo,Swahili,Kendo ikri mar duoko penjo iwe gima ok iberie ka poni inyalo penji. ,Jiandae kuitoa majibu kuhusu udhaifu wako endapo utaulizwa. 
Dholuo,Swahili,who - migawo mar thieth ebuo piny mangima world health organization (who) olero ni onge ranyisi mayango ni poto mar remo kata blood clot ma moko kuom jogo mayudo chanjo mar corona ni ikelo gi chanjo mar astrazeneca.,Tume ya afya duniani WHO imesema kuwa chanjo ya Astra Zeneca haifanyi damu kuganda mwilini
Dholuo,Swahili,Nyathi dwaro chiemo,Mtoto anataka chakula.
Dholuo,Swahili,"Chakre kanyo, gik ma ne ogergo osemiyo ji mang'eny obedo gi tije mopogore opogore, kaka e skunde.","Nikianzia, miundo msingi imebuni nafasi za kazi katika sekta mbalimbali kama vile shuleni."
Dholuo,Swahili,"Kijasiri kane owinjo ni Asisi ne ogeng'ne e od obila ma Jua kali, chunye ne ochandore. ","Kijasiri alipopata Habari ya kuwa Asisi alikuwa amezuiliwa katika kituo cha polisi cha Jua Kali,  alipata dukuduku moyoni. "
Dholuo,Swahili,Bakari Mwamoyo nochung' kar duoko penjo mondo oduok weche mane odonj ne godo. ,Bakari Mwamoyo alisimama kizimbani kujibu mashtaka. 
Dholuo,Swahili,"Kaka ne wamedo wuotho e alworano, e kaka ne wamedo neno kit le koda yien mopogore opogore, kaka yiend olembe miluongo ni willow, kod yiend mierezi.","Kila tulivyozidi kutembea mbugani humo, ndivyo tulivyozidi kuwaona wanyama anuwai na miti kama vile mibuyu na migomba mwitu."
Dholuo,Swahili,Okang' Mar Adek,SEHEMU III
Dholuo,Swahili,Duond buche siasa maok bi kawo ondamo mar chik ne jokanyo maggi mane omuocho tulo ekinde yiero maadundo mane obag juma mokadho kidek gweth oko e list mag duond buche siasa e pachoka.,Vyama vya siasa ambavyo havitatumia sheria kwa watu wao ambao walianzisha vita wakati wa uchaguzi mdogo uliofanyika juma lililopita watafutwa kwa orodha ya wanachama wa siasa nchini.
Dholuo,Swahili,Koth oseketho gik mang'eny,Mvua imeharibu vitu mingi
Dholuo,Swahili,"Paro mar loso diksonari manyienno (ma bende iluongo ni 21st Century Dictionary) ne owuok e pach josomo moko ma ne okawo thuolo mar nono diksonari ma ne nitie e dho Swahili, koda lokruok ma ne onego otim.",Wazo la kuandika kamusi hiyo mpya (tukumbuke kuna matoleo kadha ya Kamusi  ya Karne ya 21) lilitokana na fikra za wana  taaluma kadha waliokaa katika warsha ya kutathmini mahitaji ya Kamusi za Kiswahili  zilizokuwapo na mabadiliko ambayo yalitakiwa kufanywa. 
Dholuo,Swahili,"En adier ni koth ma chue e piny mangima sani medo kelo ataro kod tho, to dweche moko mabiro wabiro bedo gi oro kod kech.","Maji ya mvua yahifadhiwe Ni kinaya kwamba kwa sasa mvua inaendelea kushuhudiwa maeneo mengi nchini ikisababisha mafuriko na mauti, ilhali miezi michache ijayo tutashuhudia ukame na njaa. "
Dholuo,Swahili,Nakwongo nene kanyo.,Nili kuwa wa kwanza kumwona.
Dholuo,Swahili,Mopogore gi mago tuo mar korona oketho uchumi mar piny ng'ima. ,"Mbali na hayo,  janga la corona limezorotesha uchumi wa nchi chungu nzima. "
Dholuo,Swahili,"Ok waluor tho nikech oseloyo tho, kendo wan gadier ni obiro siko nyaka chieng'.","Hatuogopi kifo maana alishinda kifo, nasi tuna uhakika walim milele. "
Dholuo,Swahili,"Kuom adier, tuo mar korona okelo medruok e weche mag kuo.","Hakika,  virusi vya corona vimechangia katika ongezeko la uhalifu."
Dholuo,Swahili,Karim nogero ne min gi ot maber.,Karim aliwajengea wazazi wake jumba la kifahari mno.
Dholuo,Swahili,Jodala dhi nade?,Watu wa nyumbani wanaendeleaje?
Dholuo,Swahili,Jotichgo ipogo e grube adek kaluwore gi tije ma gitimo koda winjruok ma gin - go gi NHIF.,nan
Dholuo,Swahili, Oketho ne pinyno nikech ne gikoso omenda mar welo.,Hivyo basi kuathiri nchi kwani nchi ilikosa pesa za kigeni.
Dholuo,Swahili,"Chieng' no, an kod owadwa ne ochan ni itimonwa bero.",Siku hiyo mimi na ndugu yangu tuliratibiwa kufanyiwa upasuaji.
Dholuo,Swahili,Ikwayi irit saa. ,Tafadhali tunza wakati. 
Dholuo,Swahili,Osuru bende ne omedore nikech tich ne odok chien e otende mag welo koda kuonde ma ji yueyoe.,Ushuru pia ulidorora kwa sababu watu walifuta kazi yaani katika hoteli za watalii na hoteli za ufuoni hazina wahudumu. 
Dholuo,Swahili,Andike mane ng'iso kuma owuoke kendo wuoyo kuome ne pok osomo. ,Bila shaka anwani tata na ngumu kukisia maudhui yake bila kwanza kuisoma. 
Dholuo,Swahili,Ero uru kamano. ,Asanteni. 
Dholuo,Swahili,Yembe kudho mager to yeso nindo.,Kulikuwa na upepo mkali na Yesu alikuwa ame lala
Dholuo,Swahili,Director mar weche thieth e kisumu county migosi fred oluoch olero ni kwan apisas mag thieth machopo mondo oyud chanjo mar corona nipiny kendo omonogi chopo apisas gana 2 mane giketo ejuma mokuongo mar chanjo.,Mkurugenzi wa afya katika kaunti ya kisumu mheshimiwa fred oluoch ameeleza kuwa idadi ya afisa wa afya wanaofika kupata chanjo ya corona iko chini mno na inawazuia kufika idadi ya afisa elfu mbili waliyoweka katika wiki ya kwanza ya chanjo.
Dholuo,Swahili,Atero nyithindo oidh bus odhii sikul,Napeleka watoto wapande basi waende shuleni 
Dholuo,Swahili,Simba olwar e pii,Simu yangu imeanguka kwa maji 
Dholuo,Swahili, kihondko mang'eny ketho paro en to ne okodwar kamano. ,Hisia huathirir mantiki naye hakutaka hivyo. 
Dholuo,Swahili,"Mar abich, mondo omi jopur thuolo mar ng'iewo gige tich ma sani, kaka tinga mag pur gi komo.","Tano, wakulima wapewe mikopo ya kununua vifaa vya kisasa kama vile tingatinga.  "
Dholuo,Swahili,ng'at mane oyombo e pinyni mangima chakre e skul mokuongo nyaka e mbalariany ang'o momiyo ibedo japur?,Yaani janjuzi uliyeongoza taifa nzima tangu shule ya msingi hadi chuoni  mbona ukazuumu kuwa mkulima?
Dholuo,Swahili,Ka ok watimo mago to wabiro medo winjo ywak mag geche kowo jotuo mang'eny ka kowo joma ohinyore e masira yudo thieth.,Bila kufanya hivyo tutazidi kusikia milio ya ambulensi za hospitali kadha wa kadha zikisafirisha majeruhi wa ajali za barabarani kupata matibabu. 
Dholuo,Swahili,To in bende bed achiel kuom jogo makedo gi ayaki.,Wewe pia unafaa kuwa kati ya wale wanaopiga vita virusi vya Ukimwi.
Dholuo,Swahili,"Pi kosepukore, ok nyal jowe. ","Maji yakimwagika,  hayazoleki. "
Dholuo,Swahili,Dhi igone dau dasta,Enda upigie bibi deki 
Dholuo,Swahili,Mae wuoda mahero,Huyu ni kijana wangu ninaye mpenda
Dholuo,Swahili,Ng'eny derepe olo mako kendo gichako nur.,Madereva wengi hushikwa na uchovu na kusababisha kusinzia.
Dholuo,Swahili,pur nigi pesa owadwa,Ukulima una pesa ndugu.
Dholuo,Swahili,Jomoko mathoth oluoro oketo omenda nikech ong'e mar jo ohala nikech tuo mar korona kelo buok.,Mabwenyenye wengi wanaogopa kuwekeza pesa zao maadamu hakuta kuwepo na wateja kwa uwele wa corona unaibua wasi wasi.
Dholuo,Swahili,En wach mane ma ne otigo e yo makare chuth?,Ni sentensi ipi iliyotumia kiunganishi sahihi? 
Dholuo,Swahili,Nyakono kite ber,Huyo binti anatabia nzuri
Dholuo,Swahili,"Kane ojiwe, Jaduong'no ne dwoke niya: ""Dhiuru unyis nguruwe ni, 'An ok adwargi.'",Kila alipohimizwa Mzee huyu aliwajibu hayo maneno yenu nendeni mkayalishe nguruwe siyataki mimi.
Dholuo,Swahili,Wendo osedhi?,Mgeni ameenda?
Dholuo,Swahili,"Kuom ranyisi ehiga mar elufu ariyo kod piero ariyo, piny mar kenya no ok nyal kwayo mwandu kaka lewni, madinde koda gige sitima kuom china kedno uso oko majan gi kahawa. ","Kwa mfano,  mwaka wa elfu mbili na ishirini nchi yetu haikuweza kuagiza bidhaa kama nguo,  mashine na elektroniki kutoka China wala kuuza nje majani chai,  pareto na kahawa. "
Dholuo,Swahili,Nythindo tugo e laro,Watoto wanacheza nje
Dholuo,Swahili,"Mondo omi mano kik timre, sirkal onego odwok chien nengo mag gige miloso go mtoka.",Kwa kuepuka hili serikali ipunguze bei ya bidhaa za magari. 
Dholuo,Swahili,Kendo udhi kode e od dhieth mar yudo piem.,Kisha mwandamane hadi hospitalini mkapimwe.
Dholuo,Swahili,"E higa mokalo, tuke mag olympic nonego tomre Japan, to kata kamano nochore nyime nyaka higa ni.","Mwaka jana,  michezo ya Olimpiki ilikuwa ifanyike Tokyo,  lakini ikasukumwa mpaka mwaka huu."
Dholuo,Swahili,"Ne en dwond oganda miluongo ni Taoism, mawuoyo kuom lamo Nyasaye Achiel kende e piny mangima mondo oriw dhano duto obed gimoro achiel.",Ilikuwa kengele ya wito wa Tauhidi kumwabudu Mungu Mmoja kote dunia kuwaunganisha wanadamu wote kwa kwamba moja iliyonyooka. 
Dholuo,Swahili,Tiyo gi yore mag ng'iyo chal mar ndara nyalo konyo e kedo gi tim mar kwalo ji.,Kutumia ufuatiliaji wa mitaani kunaweza kusaidia kukabiliana na utekaji nyara.
Dholuo,Swahili,Apoya nono Maria nopodho kendo ling' thi.,Mara maria akazimia zi.
Dholuo,Swahili,Rombo chamo a lot,Kondoo anakula mboga.
Dholuo,Swahili,"Iyudo duoko kanyo kanyo nikech en gima timore sano, okelo tudruok maber ekind ji, omiyo jouopnjre bedo koda winjo maber, ","Hushirikisha majibu papo kwa hapo kwa kuwa ni ya ana kwa ana,  mazungumzo hukuisha matumizi ya lugha na miondoko ya mwili kama vile mhadhiri anapofunza mwanafunzi anatumia miondoko mwa mwili ili mwanafunzi aelewe vizuri,  hujenga mahusiano mema miongoni mwa washirika kama vile mhubiri na washiriki kanisani kwa kuwashirikisha katika kuimba nyimbo na kuwapa fursa ya kusoma biblia. "
Dholuo,Swahili,Adhi uso chak e chiro ,Naenda kuuza maziwa kwa soko 
Dholuo,Swahili,David otamore nyiedho dhiang’,David amekataa kukamua ng'ombe 
Dholuo,Swahili,Yueyo mar gi ninyalo winjo ka ka giywayo kendo gigolo muya. ,Mipumuo ya watu ilisikika kila walipovuta ndani hewa na kuitoa nje. 
Dholuo,Swahili,"Bende, ji ne onego opuonjre e wi golo asoya kokalo kuom redio, gasede, wang' jowi, koda kompyuta.","Pia wananchi waelimishwe kupitia redioni magazetini, runingani, tarakilishi na vipakatalishi, dhidi ya utoaji rushwa.  "
Dholuo,Swahili,Nera koth goyo,Mjomba ananyeshewa
Dholuo,Swahili,Ngire magoha owachoni japuonre moro amora maja class 8 kod 12 maibiro yud katemo kwalo penj ibiro kawnegi okang mowinjore.,Profesa magoha amesema kuwa mwanafunzi yeyote wa darasa la nane pamoja na kidato cha nne atakayepatikana akijaribu kuiba mtihani atachukuliwa hatua kali kisheria.
Dholuo,Swahili,Nachamo alot osuga makech,Nilikula mboga ya kienyeji ni kali
Dholuo,Swahili,"Be pod iloso sinembe, koso isebedo kitiyo gi thum ahinya? Kleanheart: Gie sani, uhero thum ahinya, kendo an e studio kama atiyoe gi jothum moko ariyo e loso album mar wende 20 ma ageno ni abiro golo dwe mabiro.",Bado unaprodusi filamu ama sasa umejikita kabisa katika mziki?  Kleanheart; Kwa wakati huu mimezama katika muziki na niko studioni natayarisha albamu ya nyimbo 20 ambayo  inawahusisha wasanii sab ana ambayo natarajia kuizindua wakati wowote mwezi ujao.
Dholuo,Swahili,Chienrono ma otisi ni keep mothers alive ibiro itayo egwenge 3 epachoka kaka yor hingo odiochieng mine ebuo piny mangima ka ochopo egikone kawuono.,Shughuli ya linda uhai wa wanawake ambayo imekamilika leo itakuwa inaendeshwa katika maeneo matatu nchini kama njia ya kuwathamini wanawake nchini.
Dholuo,Swahili,"Joma nigi mwandu onego ochul derepe mag mtokni pesa mang'eny, kendo mano nyalo miyo derepego odag e ngima maber.",Matajiri wao wawapatie mishahara mikubwa itakayowapatia madereva lishe bora na maisha mazuri.
Dholuo,Swahili,"Kara en adier,  ng'ato kopaki to medo timo maber.","Kwani wahenga hawakuwa bwegi bin bazi waliponena ""Mgema akisifiwa tembo hulitia maji."""
Dholuo,Swahili,"Mokwongo, jakuny mirni kelo chilo mang'eny.","Mwanzo kabisa, mchimbaji wa madini huchangia kv kiwango kikubwa katika uchafuzi wa mazingira."
Dholuo,Swahili,Samora ne en jalupo.,Shida alikuwa mvuvi.
Dholuo,Swahili,Koko ne obuogo ji kamor bunde.,Milio hiyo ilitisha kama kaputi.
Dholuo,Swahili,Ji ne wacho ni jalochgi ne ok en ng'at maber.,Watu walimshutumu mwakilishi wao kwa utawala mbovu.
Dholuo,Swahili,Udonjo e klass modeko nango,Mbona  mnaingia darasani kuchelewa 
Dholuo,Swahili,"Kwan mar welo ne odok chien ahinya nikech chike ma ne oket mar rito ji, mar geng'o ji kik wuog oko, kendo mar geng'o ji kik wuoth e kind pinje mopogore opogore.","Watalii walipungua kwa idadi kubwa kwa sababu uchukuzi ulisitizwa, zuio la kutotoka na hata zuio la kutembea na zuio la kusafiri kutoka nchi moja hadi nyingine kulipigwa marufuku."
Dholuo,Swahili,"Ka in kuno, ibiro fwenyo ni kinde mang'eny lwenje timore e kind dinde mopogore opogore. Kuom ranyisi, nitie ywaruok moro e kind oganda ma odak e gwenge man e wi gode mag Kenya kod oganda ma odak e gwenge man yo ugwe.",Hapo utapata kwamba mara nyingi vita hutokea baina ya jamiimbalimbali kwa mfano mgogoro kati ya wananchi wa mlima Kenya na wananchi wa magharibi mwa Kenya.-
Dholuo,Swahili,welo ng'eny chalo mire,Wageni walikuwa wengisana.
Dholuo,Swahili,Ne openjo Mkazamtu,aliuliza mkazamtu. 
Dholuo,Swahili,tuo mar covid19 osemiyo jotich mang'eny oriemb  e tich.,wa ugonjwa wa UVIKO 19 umefanya waajiriwa kupigwa kalamu kazini.
Dholuo,Swahili,"Masinde mag teknoloji konyo nyithindo ng'eyo gik moko e yo mayot, kendo mosmos miyo nyithindogo thuolo mar tiyo gi gik ma gipuonjore.",Teknolojia husaidia katika kujifunza na hatua kwa hatua huwapa watoto kiwango fulani cha udhibiti.
Dholuo,Swahili,"Mondo omi wabed gi ngima maber, dwarore ni wadag e alwora maler.",Tunafaa tuishi mazingira safi ili ndio tuwe na afya nzuri.
Dholuo,Swahili,Dwarore ahinya ni ng'ato obed maler.,Ni muhimu kuzingatia usafi.
Dholuo,Swahili,chik otiyo Haji,Sheria imetumika Haji.
Dholuo,Swahili,Achiel kuom gik makelo hinyruok ne pinywa ni en chilo.,Kuna vitisho vikubwa kwa mazingira ni uchafu.
Dholuo,Swahili,"Chier mar taonde gi medruok mar dhano, e kaka kwan mar ji bende medore, kendo ohala bende medore.","Kuvumbuliwa kwa miji mbalimbali, ongezeko la watu nchini huongezeka na biashara huimarika. "
Dholuo,Swahili,"kata ka en e kad kata barua,weche gi ok ochuno ni bedo mabor to ne ni weche ni ok ho jasomo","Hata  kama  ni  barua  au  kadi, jumbe  hizi  si  lazima  ziwe  ndefu  lakini  uonyeshe  kuwa  unayoeleza  si  ya  kumpumbaza  unayemwandikia.   "
Dholuo,Swahili,"Ka gin kanyachiel gi jomoko, josomo ma kamago nofwenyo ni dongruok mar dho - Swahili ne dhi nyime kendo ne dwarore ni ondik diksonari momedore mondo omi gik ma ne dwarore oyudre.","Wakiwa na wengine, wanataaluma hawa walibaini kuwa mawanda ya Kiswahili yalizidi kupanuka na kulikuwa na hitaji la kuandika kamusi ya ziada ili kukidhi mahitaji"
Dholuo,Swahili,Gima iwuoro aduwa en ni nyithindgi ne ok ong'eyo wachno kata matin.,Ajabu ni kwamba watoto wao walikuwa hawana hata habari.
Dholuo,Swahili,Riembo matek en achiel kuom gik madongo makelo hinyruok e Kenya.,Mwendokasi ni sababu kuu nchini Kenya ya kutokea kwa ajali.
Dholuo,Swahili,Jotich mang'eny noriembi e tich mondo kik tuo landre.,Wafanyikazi wengi walifutwa kazi ili kuepukana na janga hilo.
Dholuo,Swahili,"Grup achiel  mar jok mawuoyo ema chiko mbaka kendo gipenjo penjo ahinya, to grup machielo to chiwo  dwoko.",Kundi moja la washiriki huwa linadhibiti mazungumzo na hasa huwa linauliza maswali tu ilhali lile lingine kwa kiasi kikubwa hutoa majibu tu.
Dholuo,Swahili,moluor kenyatta oywago magufuli kaka osiepne kendo africa owito jatelo man kod chia mar tiyo kendo lek mabeyo ne pinje mag africa.,Kenyatta alimwomboleza Magufuli kama rafiki yake pamoja na kuwa kiongozi aliyekuwa na maono na malengo mazuri kwa mataifa ya Afrika
Dholuo,Swahili,Ularo gik mathis kamano nango?,Mbona mnapigania vitu vidogo vidogo?
Dholuo,Swahili,Ango momiyo wauso gigi.,Kwa nini tunauza hivi vitu?
Dholuo,Swahili,Chike go gin kaka tweyo okanda e mtoka to kendo jowuoth bende oparnegi ni gitwe okanda mondo wadwok chien masira mag apaya.,Sheria zenyewe ni kama kujifunga mishipi ya gari na wahimize abiria wao pia kujifunga mishipi hio ili tupunguze ajali barabarani.
Dholuo,Swahili,Thoth joma chuo wacho kama ni samoro ng'ama ne obambi norwakore eyo maywayo ng'ama ne obambe,Wengi wa wanaume husema kwamba inawezekana kuwa aliyebakwa alivaa kwa namna ya kumshawishi aliyembaka. 
Dholuo,Swahili,Chwal puonj mar pidho yien.,Uliza swali juu ya upanzi wa miti.
Dholuo,Swahili,Alua nokwere. ,Alua alimzuia. 
Dholuo,Swahili,Ijiwo jonyuol mondo oter nyithindgi e skul.,Inashauriwa wazazi kuleta watoto wao shuleni.
Dholuo,Swahili,"Walich sani, tich tire.","Tuko sawa sasa, kazi inafanyika."
Dholuo,Swahili,Mokuong'o obed mar loso penjo e yo mayot. ,Ya kwanza ni kuliandaa jibu wa sehemu ya nakala chafu. 
Dholuo,Swahili,Ingiewo ne nyathi lawu marach ahinya.,Umemnunulia mtoto nguo mbaya sana.
Dholuo,Swahili,Aluorawa en chuech moluorowa kaka dhano,Mazingira ni kiumbe inayotu zunguka sisi wanadamu.
Dholuo,Swahili,Koth okelo midhiero maduong.,Mvua imeleta mahafa makubwa
Dholuo,Swahili,to pod notuone tich kendo,Na bado ilimnyima kazi tena.
Dholuo,Swahili,"Ranyisi mag tuwono gin kaka midhusi, tuwo mar ng'ol, olo mar yweyo, olo mar bedo mool, wich bar, kod chwat.","Dalili zake ni homa, kikohozi kikavu, shida ya kupumua, uchovu, kichefuchefu na kuharisha."
Dholuo,Swahili,owacho ni maeri koro otieko ngur moko eskunde sekondar kod kuppet ewi deko mag pesago,Amesema kuwa hii sasa imemaliza malalamishi baina wa walimu wakuu wa shule hizo pamoja na muungano wa walimu wa KUPPET
Dholuo,Swahili,Ijiwowa ni wati gi gik mamiyo pi bedo maler kapok watiyo gi pi modho.,Tunahimizwa kutumia dawa za kusafisha maji haya kabla ya kuyatumia.
Dholuo,Swahili,"E kinde mokalo machiegni, thoth jood bura mag Kisii County ma ne ogeno ahinya riwruok mar Tangatanga, ne ong'anjo ma gidonjo e riwruok mar BBI.","Kwa siku za hivi punde, wabunge wengi wa Kaunti ya Kisii walioegemea mrengo wake wa Tangatanga, waliuasi na kujiunga kwenye mchakato wa Mpango wa Maridhiano (BBI) "
Dholuo,Swahili,"Gwiji ne puonj, Gwiji ne puonjore moloyo puonjo, noling' matin. ","Gwiji alifundisha,  Gwiji alielimisha zaidi ya kufundisha,  alisita kidogo. "
Dholuo,Swahili,Ber mar gero piny mar Kenya.,TAHARIRI KUHUSU UMUHIMU WA MIUNDO MSINGI NCHINI KENYA Miundo msingi
Dholuo,Swahili,kanyo e gik mane itimo koda Asisi gi osiepene nochakre. ,Hapo ndipo maudhi ya saa yanayofanywa na Asisi na vijana wenzake yalikoanzia. 
Dholuo,Swahili,"Riwruok mar piny mangima mabiro chiwo paro ne riwruok mar kedo gi mibadhi moting'o grube mag din, riwruoge mag jotelo, riwruoge mag jotich kod riwruoge ma ok mag sirkal, nyalo dwoko mibadhi chien ka giduto gibedo kanyakla kaka ochunglo ma gero utegi gi kuoth.","halmashauri ya kitaifa ambayo itatoa ushauri kwa tume ya kupambana na ufisadi ambayo itawahusisha makundi ya kidini, vyama ya wataalamu sekta ya kibinafsi na ile ya wafanyikazi ufisadi huu unaweza kupungua kama makundi hayo yote yatajizatiti kama mchwa anayejenga kichuguu kwa mate.  "
Dholuo,Swahili,Ang'iye gi malo to ok onena.,Nili muangalia na huko juu na siku mwona.
Dholuo,Swahili,Jadolo ohero apoyo,Mchungaji anapenda papai
Dholuo,Swahili,Kik iwach gima iwachono,Usiseme hicho unachokisema
